propietario,owner_name,ranking_operativo,pasillo_destino,floor_positions_allocated
23,MAHOU-MARKETING OCIO,1,1,88
24,MCC MADRID,2,1,20
24,MCC MADRID,2,2,94
3,ALHAMBRA,3,2,14
3,ALHAMBRA,3,3,108
3,ALHAMBRA,3,4,108
3,ALHAMBRA,3,5,26
4,SOLAN,4,5,82
4,SOLAN,4,6,2
29,MAHOU FUTBOL,5,6,49
82,BRUTUS DESARROLLO COMERCIAL,6,6,41
5,SAN MIGUEL,7,6,16
5,SAN MIGUEL,7,7,60
14,FUNDACION MAHOU SAN MIGUEL,8,7,36
30,EVENTOS COMERCIALES,9,7,12
30,EVENTOS COMERCIALES,9,8,8
33,IPA,10,8,34
7,CERVECISTAS,11,8,5
32,MCC CENTRO - OESTE,12,8,16
61,MAHOU CORPORATIVO,13,8,32
6,CRAFT,14,8,12
62,MAHOU JOVEN,15,8,1
62,MAHOU JOVEN,15,9,18
64,CORONA,16,9,35
49,MAHOU - SANDRINE GIRAUD,17,9,4
89,BRAND MANAGEMENT MERCADO,18,9,12
34,CUENTAS NACIONALES,19,9,39
34,CUENTAS NACIONALES,19,10,7
96,VENUES,20,10,74
71,BUDWEISER,21,10,10
77,ASUNTOS CORPORATIVOS Y SOSTENIBILIDAD,22,10,17
77,ASUNTOS CORPORATIVOS Y SOSTENIBILIDAD,22,11,21
95,INNOVACION,23,11,34
90,HUB CONTENIDO & ACTIVACION,24,11,4
76,UNIDAD INTERNACIONAL MARKETING,25,11,17
80,ABI HORECA,26,11,6
72,LA SALVE,27,11,5
98,MAHOU CANAL,28,11,18
74,EXPERIENCIA Y CRECIMIENTO DE CLIENTES,29,11,3
74,EXPERIENCIA Y CRECIMIENTO DE CLIENTES,29,12,7
86,GOLF,30,12,7
60,MARCOS CELEIRO,31,12,47
79,SAN MIGUEL CORPORATIVO,32,12,3
51,MCC BILBAO,33,12,2
12,ESPACIOS CERVECERAS,34,12,8
21,MIXTA,35,12,2
46,REFEEL,36,12,1
37,ALHAMBRA CORPORATIVO,37,12,7
